review_hash,helpful_vote_count,cons,is_incentivised,anonymous,date,title_translated,languagecode,cons_translated,pros,reviewng,author,title,is_moderated,hotel_id,stayed_room_info,user_new_badges,review_id,is_trivial,travel_purpose,pros_translated,countrycode,average_score,tags
affd30c5fd5d4101,0,"It's an older building, so there may not be too much that can be done to improve the rooms. I had a balcony room, which was nice. The bathroom is small and shower tiny. The room was comfortable and spacious enough for one guest.",0,,2022-08-10 05:33:31,,en-gb,,Location was excellent - very central and access to all of the shopping and food options available in the area. Not too far from the beach.,1,"{'type': 'solo_traveller', 'avatar': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=5064', 'type_string': 'Solo traveller', 'countrycode': 'au', 'user_id': 176960593, 'nr_reviews': 0, 'name': 'Olivia', 'helpful_vote_count': 0, 'age_group': '', 'city': ''}",Great location,0,181109,"{'room_name': 'King or Queen Room', 'photo': {'ratio': 1.5, 'photo_id': 60372632, 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/603/60372632.jpg', 'url_original': 'https://cf.bstatic.com/images/hotel/max500/603/60372632.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/603/60372632.jpg', 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/603/60372632.jpg'}, 'checkout': '2022-08-06', 'checkin': '2022-08-05', 'room_id': 18110907}",[],4593728729,0,leisure,,au,2.79999995231628,[]
de945bf6338df016,0,1/2 elevators being down for half of my trip. waiting 5-7 minutes on an elevator was irritating.,0,,2022-08-03 21:56:04,,en-us,,the location!,1,"{'countrycode': 'us', 'user_id': 114568294, 'nr_reviews': 0, 'name': 'Christina', 'helpful_vote_count': 0, 'age_group': '', 'city': '', 'type': 'solo_traveller', 'type_string': 'Solo traveller'}",Beautiful facility with amazing staff!,0,181109,"{'checkin': '2022-07-29', 'room_id': 18110907, 'photo': {'url_square60': 'https://cf.bstatic.com/images/hotel/square60/603/60372632.jpg', 'ratio': 1.5, 'photo_id': 60372632, 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/603/60372632.jpg', 'url_original': 'https://cf.bstatic.com/images/hotel/max500/603/60372632.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/603/60372632.jpg'}, 'room_name': 'King or Queen Room', 'checkout': '2022-08-02'}",[],2261187416,0,leisure,,us,3.20000004768372,[]
2c866320b885c663,0,"The rooms are in need of an updating, especially the individual air conditioning units and the noise they make. The bathrooms were small, especially the shower.",0,,2022-05-09 14:55:27,,en-us,,,1,"{'user_id': 183924167, 'countrycode': 'us', 'helpful_vote_count': 0, 'name': 'Kimberly', 'nr_reviews': 0, 'city': '', 'age_group': '', 'type': 'review_category_group_of_friends', 'type_string': 'Group of friends'}",See a bub.,0,181109,"{'photo': {'url_original': 'https://cf.bstatic.com/images/hotel/max500/603/60372675.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/603/60372675.jpg', 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/603/60372675.jpg', 'ratio': 1.5, 'photo_id': 60372675, 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/603/60372675.jpg'}, 'room_name': 'Deluxe Double Room with Two Double Beds', 'checkout': '2022-05-05', 'room_id': 18110910, 'checkin': '2022-05-03'}",[],4581895384,0,leisure,,us,2.79999995231628,[]
8db30152401bb607,0,Room was very small especially bathroom too tight. Thought I booked a king size bed but ended up in a queen bed.,0,,2022-04-19 01:18:27,,en-gb,,"Location close to everything, stores, restaurants, and walking distance to the beach",1,"{'age_group': '', 'city': '', 'nr_reviews': 0, 'helpful_vote_count': 0, 'name': 'Russannah', 'countrycode': 'ca', 'user_id': 554166380, 'type_string': 'Solo traveller', 'type': 'solo_traveller', 'avatar': 'https://lh3.googleusercontent.com/a/AATXAJzQu5381E2rvaeGZN2_hWgKMswccTo_BRTVbnGb=s96-c64'}",Great location but old hotel. Friendly staff.,0,181109,"{'checkin': '2022-04-12', 'room_id': 18110907, 'room_name': 'King or Queen Room', 'photo': {'url_square60': 'https://cf.bstatic.com/images/hotel/square60/603/60372632.jpg', 'ratio': 1.5, 'photo_id': 60372632, 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/603/60372632.jpg', 'url_original': 'https://cf.bstatic.com/images/hotel/max500/603/60372632.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/603/60372632.jpg'}, 'checkout': '2022-04-17'}",[],2661395053,0,leisure,,ca,3.20000004768372,[]
65362e0dad2550e2,0,Cost for Kamaaina.,0,,2022-02-08 07:52:09,,en-us,,Great staff and good location.,1,"{'type': 'solo_traveller', 'type_string': 'Solo traveller', 'age_group': '', 'city': '', 'countrycode': 'us', 'user_id': 0, 'nr_reviews': 0, 'name': 'Kim', 'helpful_vote_count': 0}",Relaxing,0,181109,"{'room_id': 18110907, 'checkin': '2022-02-05', 'photo': {'ratio': 1.5, 'photo_id': 60372632, 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/603/60372632.jpg', 'url_original': 'https://cf.bstatic.com/images/hotel/max500/603/60372632.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/603/60372632.jpg', 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/603/60372632.jpg'}, 'room_name': 'King or Queen Room', 'checkout': '2022-02-06'}",[],4574692014,0,leisure,,us,3.20000004768372,[]
eaafc9d9a2a29aa5,0,room could use some updating,0,,2022-02-01 00:31:09,,en-us,,location,1,"{'countrycode': 'au', 'user_id': 47345361, 'nr_reviews': 0, 'name': 'Miriam', 'helpful_vote_count': 0, 'age_group': '', 'city': '', 'type': 'solo_traveller', 'avatar': 'https://graph.facebook.com/v2.9/100005451304471/picture?type=square&height=64&width=64', 'type_string': 'Solo traveller'}",Pleasant,0,181109,"{'room_id': 18110907, 'checkin': '2022-01-26', 'photo': {'url_square60': 'https://cf.bstatic.com/images/hotel/square60/603/60372632.jpg', 'photo_id': 60372632, 'ratio': 1.5, 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/603/60372632.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/603/60372632.jpg', 'url_original': 'https://cf.bstatic.com/images/hotel/max500/603/60372632.jpg'}, 'room_name': 'King or Queen Room', 'checkout': '2022-01-29'}",[],2939469327,0,leisure,,au,2.79999995231628,[]
0fb73185b263da4c,1,,0,,2021-09-13 22:32:39,,en-us,,Location,1,"{'age_group': '', 'city': '', 'nr_reviews': 0, 'name': 'Ohihonma', 'helpful_vote_count': 1, 'countrycode': 'us', 'user_id': 509408471, 'type_string': 'Solo traveller', 'type': 'solo_traveller'}",Pleasant,0,181109,"{'checkout': '2021-09-06', 'room_name': 'King or Queen Room', 'photo': {'url_square60': 'https://cf.bstatic.com/images/hotel/square60/603/60372632.jpg', 'photo_id': 60372632, 'ratio': 1.5, 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/603/60372632.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/603/60372632.jpg', 'url_original': 'https://cf.bstatic.com/images/hotel/max500/603/60372632.jpg'}, 'room_id': 18110907, 'checkin': '2021-09-03'}",[],4563632501,0,leisure,,us,2.79999995231628,[]
bc0e80f31442631a,0,It was very outdated.,0,,2021-09-10 20:19:06,,en-us,,The staff was amazing.  The bar and restaurant were exceptional.    Amazing authentic Hawaiian food and drink .   The manager Ezekiel made our trip extremely enjoyable.,1,"{'avatar': 'https://lh5.googleusercontent.com/-EKkaEy-wBaA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclto8jfUcTPUkCtzif-lOyOHXUj4Q/s96-c/photo.jpg64', 'type': 'review_category_group_of_friends', 'type_string': 'Group of friends', 'user_id': 34934936, 'countrycode': 'us', 'helpful_vote_count': 0, 'name': 'Alyson', 'nr_reviews': 0, 'city': '', 'age_group': ''}",Excellent bar and restaurant!,0,181109,"{'photo': {'url_square60': 'https://cf.bstatic.com/images/hotel/square60/603/60372675.jpg', 'photo_id': 60372675, 'ratio': 1.5, 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/603/60372675.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/603/60372675.jpg', 'url_original': 'https://cf.bstatic.com/images/hotel/max500/603/60372675.jpg'}, 'room_name': 'Deluxe Double Room with Two Double Beds', 'checkout': '2021-08-14', 'checkin': '2021-08-12', 'room_id': 18110910}",[],3754151775,0,leisure,,us,3.20000004768372,[]
1c2da077720b3207,0,My first night I stayed in a room which I believe haven't been used in a while. I decided to extend my trip to 2 more nights and the receptionist was kind enough to move my belongings to another room while I was doing a day tour. My belongings where delivered to my upgraded room. It was definitely a true upgrade 🥰,0,,2021-09-06 06:22:02,,en-us,,My upgraded room! So much better and I have a microwave..Lol,1,"{'type': 'solo_traveller', 'type_string': 'Solo traveller', 'user_id': 490773491, 'countrycode': 'us', 'helpful_vote_count': 0, 'name': 'Danielle', 'nr_reviews': 0, 'city': '', 'age_group': ''}",Very good,0,181109,"{'checkin': '2021-08-26', 'room_id': 18110907, 'room_name': 'King or Queen Room', 'checkout': '2021-08-29', 'photo': {'url_original': 'https://cf.bstatic.com/images/hotel/max500/603/60372632.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/603/60372632.jpg', 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/603/60372632.jpg', 'ratio': 1.5, 'photo_id': 60372632, 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/603/60372632.jpg'}}",[],2844128728,0,leisure,,us,3.20000004768372,[]
15c8c012902ff617,0,The room not cleaned daily and room was small for two pe,0,,2021-06-09 19:16:43,,en-us,,Location,1,"{'countrycode': 'us', 'user_id': 192787249, 'nr_reviews': 0, 'helpful_vote_count': 0, 'name': 'Angela', 'age_group': '', 'city': '', 'type': 'review_category_group_of_friends', 'type_string': 'Group of friends'}",Pleasant,0,181109,"{'checkin': '2021-05-30', 'room_id': 18110910, 'photo': {'url_original': 'https://cf.bstatic.com/images/hotel/max500/603/60372675.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/603/60372675.jpg', 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/603/60372675.jpg', 'ratio': 1.5, 'photo_id': 60372675, 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/603/60372675.jpg'}, 'room_name': 'Deluxe Double Room with Two Double Beds', 'checkout': '2021-06-05'}",[],3386956997,0,business,,us,2.40000009536743,[]
ee3aea965a682dd4,1,"After a long day out of the hotel, we returned to our room door propped open, when we always make sure that our doors have fully closed. We did not feel safe after this experience. The staff were extremely helpful and accommodating in helping us switch rooms. We checked out the next day and received a full refund for the days that we cancelled.",0,,2021-05-09 19:54:23,,en-us,,"The staff were extremely hospitable, helpful, professional, kind, and accommodating. Special thanks to Kai.",1,"{'type': 'review_category_group_of_friends', 'type_string': 'Group of friends', 'age_group': '', 'city': '', 'countrycode': 'us', 'user_id': 456631432, 'nr_reviews': 0, 'name': 'Hannah', 'helpful_vote_count': 1}",Pleasant,0,181109,"{'checkin': '2021-04-29', 'room_id': 18110910, 'room_name': 'Deluxe Double Room with Two Double Beds', 'checkout': '2021-05-04', 'photo': {'url_max300': 'https://cf.bstatic.com/images/hotel/max300/603/60372675.jpg', 'url_original': 'https://cf.bstatic.com/images/hotel/max500/603/60372675.jpg', 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/603/60372675.jpg', 'photo_id': 60372675, 'ratio': 1.5, 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/603/60372675.jpg'}}",[],4551045715,0,leisure,,us,2.79999995231628,[]
b078289fd34044e4,0,"When booking room , seems like I should have had a bigger room !",0,,2021-01-04 02:26:20,,en-us,,None,1,"{'user_id': 0, 'countrycode': 'us', 'name': 'Halissia', 'helpful_vote_count': 0, 'nr_reviews': 0, 'city': '', 'age_group': '', 'type': 'solo_traveller', 'type_string': 'Solo traveller'}",Too expensive for the price of the room that was given to me! Very small,0,181109,"{'checkout': '2020-12-07', 'room_name': 'King or Queen Room', 'photo': {'url_original': 'https://cf.bstatic.com/images/hotel/max500/603/60372632.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/603/60372632.jpg', 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/603/60372632.jpg', 'ratio': 1.5, 'photo_id': 60372632, 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/603/60372632.jpg'}, 'room_id': 18110907, 'checkin': '2020-12-04'}",[],4546576446,0,leisure,,us,2.40000009536743,[]
b58e58ba5359a38b,0,There really wasn’t anything to not like about it.,0,,2020-02-08 16:15:32,,en-us,,It wasn’t to far from the beach and or good restaurants.,1,"{'type': 'review_category_group_of_friends', 'type_string': 'Group of friends', 'user_id': 277501148, 'countrycode': 'us', 'name': 'Matt', 'helpful_vote_count': 0, 'nr_reviews': 0, 'city': '', 'age_group': ''}",Fabulous,0,181109,"{'checkout': '2020-01-12', 'room_name': 'King or Queen Room', 'photo': {'ratio': 1.5, 'photo_id': 60372632, 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/603/60372632.jpg', 'url_original': 'https://cf.bstatic.com/images/hotel/max500/603/60372632.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/603/60372632.jpg', 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/603/60372632.jpg'}, 'room_id': 18110907, 'checkin': '2020-01-11'}",[],3656514774,0,other,,us,3.5,[]
99b2527597d2cda9,0,Showers were very small.,0,,2020-01-09 06:35:45,,en-gb,,,1,"{'type': 'review_category_group_of_friends', 'type_string': 'Group of friends', 'age_group': '', 'city': '', 'countrycode': 'au', 'user_id': 135467528, 'nr_reviews': 0, 'helpful_vote_count': 0, 'name': 'Roger'}",Pleasant,0,181109,"{'room_id': 18110910, 'checkin': '2019-12-28', 'photo': {'photo_id': 60372675, 'ratio': 1.5, 'url_square60': 'https://cf.bstatic.com/images/hotel/square60/603/60372675.jpg', 'url_max300': 'https://cf.bstatic.com/images/hotel/max300/603/60372675.jpg', 'url_original': 'https://cf.bstatic.com/images/hotel/max500/603/60372675.jpg', 'url_640x200': 'https://cf.bstatic.com/images/hotel/640x200/603/60372675.jpg'}, 'room_name': 'Deluxe Double Room with Two Double Beds', 'checkout': '2020-01-06'}",[],2231783789,0,leisure,,au,2.66667008399963,[]
